Reference Module 3  (RM3) Acess: https://energy.sandia.gov/energy/renewable-energy/water-power/technology-development/reference-model-project-rmp/,,,,,,,,,,,,
rated capacity w,1000000,,,,,,,,,,,
mechanical to electrical energy conversion efficiency,1,,,,,,,,,,,
losses due to device availability,0.95,,,,,,,,,,,
losses due to transmission efficiency,0.98,,,,,,,,,,,
minimum depth [m],20,,,,,,,,,,,
maximum depth [m],200,,,,,,,,,,,
,,,,,,,,,,,,
Mechanical Power Matrix (Row: Hs, Column: Tp),,,,,,,,,,,
,4,5,6,7,8,9,10,11,12,13,14,15
1,6000,11000,19000,25000,30000,44000,50000,53000,44000,34000,22000,20000
1.5,13000,25000,43000,55000,68000,90000,102000,92000,91000,66000,65000,45000
2,24000,45000,65000,100000,121000,153000,175000,151000,122000,126000,87000,61000
2.5,0,65000,104000,141000,191000,179000,243000,255000,190000,181000,135000,99000
3,0,96000,137000,205000,244000,357000,293000,353000,260000,248000,184000,137000
3.5,0,0,192000,254000,291000,431000,385000,424000,314000,285000,239000,222000
4,0,0,256000,366000,403000,551000,536000,531000,473000,420000,289000,268000
4.5,0,0,327000,418000,574000,678000,708000,665000,509000,415000,386000,244000
5,0,0,358000,514000,658000,824000,828000,618000,638000,512000,452000,384000
5.5,0,0,0,610000,774000,880000,936000,905000,805000,603000,456000,397000
6,0,0,0,711000,952000,974000,1000000,838000,886000,648000,501000,503000
6.5,0,0,0,788000,1000000,1000000,1000000,979000,1000000,727000,577000,435000
7,0,0,0,781000,1000000,1000000,1000000,1000000,1000000,959000,748000,574000
